Timestamp,City,Mood,Weather
2025-07-23T10:46:03.856168,Luxembourg,Neutral,Partly cloudy
2025-07-23T10:49:23.441958,Luxembourg,Neutral,Partly cloudy
2025-07-23T10:49:28.616277,Luxembourg,Sleepy,Partly cloudy
2025-07-23T10:49:33.679716,Luxembourg,Happy,Partly cloudy
2025-07-23T10:49:38.694486,Luxembourg,Neutral,Partly cloudy
2025-07-23T10:50:03.883051,Luxembourg,Happy,Partly cloudy
2025-07-23T10:50:08.828072,Luxembourg,Neutral,Partly cloudy
2025-07-23T10:53:38.877071,Luxembourg,Neutral,Partly cloudy
2025-07-23T10:53:48.848803,Luxembourg,Happy,Partly cloudy
2025-07-23T10:53:49.055329,Luxembourg,Neutral,Partly cloudy
2025-07-23T10:53:54.264313,Luxembourg,Happy,Partly cloudy
2025-07-23T10:54:14.399328,Luxembourg,Neutral,Partly cloudy
2025-07-23T10:54:24.596966,Luxembourg,Sleepy,Partly cloudy
2025-07-23T10:54:29.460777,Luxembourg,Neutral,Partly cloudy
2025-07-23T10:54:34.473804,Luxembourg,Sleepy,Partly cloudy
2025-07-23T10:54:39.854064,Luxembourg,Neutral,Partly cloudy
2025-07-23T10:54:44.604742,Luxembourg,Happy,Partly cloudy
2025-07-23T10:54:49.469179,Luxembourg,Neutral,Partly cloudy
2025-07-23T11:01:13.714820,Luxembourg,Neutral,Partly cloudy
2025-07-23T11:01:23.905146,Luxembourg,Happy,Partly cloudy
2025-07-23T11:01:28.946942,Luxembourg,Neutral,Partly cloudy
2025-07-23T11:01:34.065898,Luxembourg,Sleepy,Partly cloudy
